Product,Design,Colour,Style Code,Cateogry ,Fabric,Costing With Admin,Admin With Logistics Cost,Retail Price,Wholesale Price - 50% Off,Wholesale Price - 40% Off,Wholesale Price - 30% Off
Elasticated Waistband Dress,Luminous Reign,Burgundy,LmRnElBndDr25WS,Dress,Viscose Blend,12,13.7,143,71,57,43
Elasticated Waistband Dress,Auralith,Beige,AurElBndDr15WS,Dress,Viscose Blend,12,13.7,143,71,57,43
Elasticated Waistband Dress,Auralith,Blue,AurElBndDr03WS,Dress,Viscose Blend,12,13.7,143,71,57,43
Elasticated Waistband Dress,Auralith,Pink,AurElBndDr16WS,Dress,Viscose Blend,12,13.7,143,71,57,43
Elasticated Waistband Dress,Cosmic Chaos,Beige & Blue,CcElBndDr1503WS,Dress,Linen Blend,14,16.1,234,117,94,70
Elasticated Waistband Dress,Cosmic Chaos,Yellow,CcElBndDr24WS,Dress,Viscose Blend,12,13.7,234,117,94,70
Elasticated Waistband Dress,Rough Notes,White,RghNtsElBndDr10WS,Dress,Linen Blend,14,16.1,128,64,51,38
Elasticated Waistband Dress,Rough Notes,Peach,RghNtsElBndDr15WS,Dress,Linen Blend,14,16.1,128,64,51,38
Elasticated Waistband Dress,Rough Notes,Nude Pink,RghNtsElBndDr16WS,Dress,Linen Blend,14,16.1,128,64,51,38
Elasticated Waistband Dress,Timeless Impressions,Mocha,TmlprElBndDr23WS,Dress,Viscose Blend,12,13.7,106,53,42,32
Elasticated Waistband Dress,Easy Is Right,White,EsyRghElBndDr10WS,Dress,Viscose Blend,12,13.7,128,64,51,38
Elasticated Waistband Dress,Mireaux II,Red,MirIIElBndDr01S,Dress,Viscose Blend,12,13.7,180,90,72,54
Pleated Dress,Timeless Impressions,Burgundy,TmlPlDr25WS,Dress,Viscose Blend,13,15.4,234,117,94,70
Sleeveless Dress,Luminous Reign,Burgundy,LmRnSlvlsDr25WS,Dress,Viscose Blend,13,14.7,58,29,23,18
Sleeveless Dress,Auralith,Pink,AurSlvlsDr16WS,Dress,Viscose Blend,13,14.7,58,29,23,18
Sleeveless Dress,Auralith,Beige,AurSlvlsDr15WS,Dress,Viscose Blend,13,14.7,58,29,23,18
Sleeveless Dress,Auralith,Green,AurSlvlsDr02WS,Dress,Viscose Blend,13,14.7,58,29,23,18
Sleeveless Dress,Auralith,Orange,AurSlvlsDr05WS,Dress,Viscose Blend,13,14.7,58,29,23,18
Sleeveless Dress,Auralith,Blue,AurSlvlsDr03WS,Dress,Viscose Blend,13,14.7,58,29,23,18
Sleeveless Dress,Easy Is Right,White,EsyRghSlvlsDr10WS,Dress,Viscose Blend,13,14.7,54,27,21,16
Sleeveless Dress,Nurazaa,Green,NrzSlvlsDr02WS,Dress,Viscose Blend,13,14.7,65,32,26,19
Cropped Blouse With Drawstring,Cosmic Chaos,Mixed,CcDrwsBl14WS,Top,Satin,11,13.4,234,117,94,70
Cropped Blouse With Drawstring,Timeless Impressions,Burgundy,TmplrDrwsBl25WS,Top,Satin,11,13.4,234,117,94,70
Cuban Collared Cropped Shirt,Cosmic Chaos,Yellow,CcCcCrSh24WS,Top,Viscose Blend,11,12.9,199,99,80,60
